Source,Name,Title,URL,Blurb
PnP Hideaway,Chris Hepburn,Maquis,https://pnpfinder.com/game.html?id=59,I’ve changed my cards for my maquis retheme to a matte as the darker colours look much better in matte.
PnP Hideaway,Sultan Syahrul FJ,Palm Island,https://pnpfinder.com/game.html?id=255,"Napalm Island (which is a retheme of Palm Island ) is a terrific little game that is very easy to craft and carry, a solid timewaster, and one that occupies zero table space"
PnP Hideaway,Arnold Hau,Cursed?!,https://boardgamegeek.com/filepage/316266/cursed-masters-of-the-universe-retheme-by-sakier,Masters of the Universe - Cursed Fields of Eternia a retheme of Cursed!?
r/printandplay,u/ozblock,King,https://www.kickstarter.com/projects/radek-ignatow/king-0,Hoping to try King this week after kickstarter just finished. Just awaiting the files.
r/printandplay,u/sk3n7,Solo Crawling,https://solocrawling.bigcartel.com/product/solo-crawling-print-and-play-edition,Printing out an early prototype to test for the first expansion to my game Solo Crawling
r/printandplay,u/xekarfwtos,Pocket Book Adventures,https://grumpyspider.com/product/pocket-book-adventures/,Pocket book adventures. I edit a little bit the pdf files to create small zines.
BGG,Dana Longley (@disobedientlib),A Dragon's Gift,https://buttonshygames.itch.io/a-dragons-gift,"Base game only. Scored 11, delivering the robo-tv gift to the dragon..."
BGG,@kingofanything,52 Realms: Adventures,https://pnpfinder.com/game.html?id=552,The game is a good one—I put it in my top 20 last year. Is it that the fantasy theme doesn't call to me like historical themes do? Maybe.
BGG,@B2TB,Numbsters,https://pnpfinder.com/game.html?id=331,Wanted to play something quick and easy tonight.
