Name,Description,URL
PnPFinder,"Search for and discover worthwhile PnP games using this efficient and versatile game directory, 100 percent free and driven by the PnP community.",https://pnpfinder.com
PnP Launchpad,PnP Launchpad is your connection to what's hot and fresh in print and play game projects! Discover and keep track of the latest print and play game crowdfunding projects and promotions. ,https://launchpad.gonzhome.us
PnPTools,"Your essential resource for print and play websites, tools, stores, sources, and more. Search quickly, filter by category, and jump straight to each resource.",https://pnptools.gonzhome.us
Card Prototyper,"Design quick card prototypes and export individual card images or print-ready sheets in this free, fast, and thoughtfully designed web app.",https://prototyper.gonzhome.us
Card Extractor,"A free, private in-browser app to extract individual card images from uploaded PnP PDFs, and save them as individual card image files.",https://extractor.gonzhome.us
Card Formatter,"Upload your card images, pick a layout, and export a duplex-ready PDF with corner crosshair guides, with flexible spacing and page sizes.",https://formatter.gonzhome.us
